y,elastic_net_logistic,xgboost,ebm,Animal
CKD,"[0.8004491874207267, 0.14932504691406007, 0.050225765665213085]","[0.6351027488708496, 0.27640822529792786, 0.08848902583122253]","[0.9092251826531236, 0.0864681532539652, 0.004306664092911348]",M
CKD,"[0.011738610334908486, 0.38649055283096156, 0.60177083683413]","[0.10234598815441132, 0.20104658603668213, 0.6966074109077454]","[0.03639679764578538, 0.11887236490663308, 0.8447308374475815]",M
CKD,"[0.8905567162295278, 0.09876959131958797, 0.010673692450884195]","[0.9163020849227905, 0.051075756549835205, 0.032622165977954865]","[0.9897343318247616, 0.009784165792088321, 0.00048150238315014033]",M
CKD,"[0.08936499705412823, 0.7505268801779243, 0.1601081227679475]","[0.179888516664505, 0.24946832656860352, 0.5706431865692139]","[0.22428637972047666, 0.5346487562824193, 0.24106486399710403]",N
CKD,"[0.20223657712307058, 0.624343019761439, 0.17342040311549037]","[0.264456182718277, 0.5671905279159546, 0.16835333406925201]","[0.12015442134435166, 0.6869490812807667, 0.19289649737488151]",N
CKD,"[0.07432106635679774, 0.5793261727233223, 0.34635276091988004]","[0.07650952786207199, 0.6419730186462402, 0.28151750564575195]","[0.024840963922230206, 0.6831687289649574, 0.2919903071128125]",N
CaOx,"[0.047457990763728045, 0.3458045810576995, 0.6067374281785723]","[0.16901591420173645, 0.3962708115577698, 0.4347132742404938]","[0.09104281104448744, 0.5536423145910234, 0.35531487436448916]",O
CaOx,"[0.07685712967660835, 0.32617662007733605, 0.5969662502460557]","[0.1388748735189438, 0.35726889967918396, 0.5038562417030334]","[0.1660264855188815, 0.4215976945623178, 0.4123758199188006]",O
CaOx,"[0.36326189924470415, 0.2914318227242041, 0.34530627803109176]","[0.45520827174186707, 0.3089374005794525, 0.2358543425798416]","[0.5585803482107857, 0.3398269162329686, 0.10159273555624554]",O
CKD,"[0.49420415427566844, 0.060299213284445506, 0.445496632439886]","[0.6187453269958496, 0.16036070883274078, 0.22089393436908722]","[0.8358143694655265, 0.042106324217076774, 0.1220793063173968]",OL
CKD,"[0.324007376636967, 0.08382219820745843, 0.5921704251555745]","[0.49209168553352356, 0.10393278300762177, 0.40397554636001587]","[0.6515758956693494, 0.041903984773786596, 0.30652011955686415]",OL
CKD,"[0.39798478380023905, 0.24552705621908813, 0.3564881599806727]","[0.6924943327903748, 0.13631503283977509, 0.17119069397449493]","[0.6043061800635711, 0.22441095347213627, 0.17128286646429272]",OL
CKD,"[0.018619473714851696, 0.2158288228330992, 0.7655517034520491]","[0.07867249101400375, 0.15241658687591553, 0.7689109444618225]","[0.07516187625624783, 0.04130147011938926, 0.8835366536243628]",OL
CKD,"[0.12959951148155252, 0.17849561542638476, 0.6919048730920627]","[0.33090147376060486, 0.1749485731124878, 0.49414998292922974]","[0.2209630081721044, 0.2044133446988281, 0.5746236471290675]",OL
Healthy,"[0.7064628685982383, 0.0819733287207159, 0.2115638026810458]","[0.534670889377594, 0.15220291912555695, 0.31312620639801025]","[0.5546287043911622, 0.12522273923784558, 0.32014855637099227]",P
Healthy,"[0.7028892073973554, 0.044284317964328995, 0.2528264746383156]","[0.3482334017753601, 0.24084532260894775, 0.41092127561569214]","[0.573507155475805, 0.2130018121129641, 0.21349103241123088]",P
Healthy,"[0.923727382953633, 0.06618517373816211, 0.010087443308204873]","[0.8085916638374329, 0.16076233983039856, 0.030646000057458878]","[0.8581836574706828, 0.13313068339062106, 0.008685659138696098]",Q
Healthy,"[0.49616274249557896, 0.2417643796572122, 0.26207287784720873]","[0.41585978865623474, 0.27484697103500366, 0.3092932403087616]","[0.43478924614755804, 0.30658773268503564, 0.2586230211674064]",Q
Healthy,"[0.6486780862482696, 0.17705344908391601, 0.17426846466781423]","[0.5737386345863342, 0.2336471825838089, 0.19261418282985687]","[0.6792101566900896, 0.19563739579004297, 0.12515244751986748]",Q
Healthy,"[0.5748959799756986, 0.30177162555187576, 0.12333239447242565]","[0.40356454253196716, 0.49836403131484985, 0.09807142615318298]","[0.3488783295958554, 0.555164295795095, 0.09595737460904953]",Q
Healthy,"[0.9964696003713448, 0.0012492831264896908, 0.0022811165021656785]","[0.8663339018821716, 0.07895664870738983, 0.05470947176218033]","[0.982541079070357, 0.015076163965041588, 0.002382756964601285]",Q
CaOx,"[0.06337821320068726, 0.06322956975914638, 0.8733922170401665]","[0.146473690867424, 0.14626675844192505, 0.7072595953941345]","[0.04330336929439801, 0.12564564198686212, 0.8310509887187398]",QA
CaOx,"[0.13546408945915497, 0.33988375237008284, 0.5246521581707622]","[0.13006097078323364, 0.26775291562080383, 0.6021861433982849]","[0.058829234143839865, 0.20475805477388873, 0.7364127110822714]",QA
CaOx,"[0.12242842115606882, 0.1718053916427226, 0.7057661872012085]","[0.11290033906698227, 0.26817411184310913, 0.6189255118370056]","[0.10214684104788439, 0.25344130713364227, 0.6444118518184734]",QA
CaOx,"[0.23722194966544666, 0.28789618267032324, 0.47488186766423013]","[0.204860121011734, 0.5360426306724548, 0.25909727811813354]","[0.17423357700244257, 0.627581588762404, 0.19818483423515337]",QA
CaOx,"[0.2752507737652413, 0.15423923723298139, 0.5705099890017773]","[0.3179872930049896, 0.1422848105430603, 0.5397278666496277]","[0.2437126979957412, 0.08950730017134717, 0.6667800018329116]",QA
CaOx,"[0.10114375436450411, 0.31043031632183427, 0.5884259293136617]","[0.1884733885526657, 0.4346192181110382, 0.3769074082374573]","[0.07816838284919193, 0.4602395335129457, 0.46159208363786236]",QA
Healthy,"[0.9232040195203581, 0.06439805674104945, 0.012397923738592295]","[0.741793692111969, 0.17265045642852783, 0.08555584400892258]","[0.9709806045629727, 0.028051213835582164, 0.0009681816014448565]",R
Healthy,"[0.9521593081032071, 0.036887675240663345, 0.010953016656129525]","[0.5984807014465332, 0.34051966667175293, 0.060999590903520584]","[0.929476089887619, 0.06519277492245916, 0.005331135189922065]",R
Healthy,"[0.9955410840859013, 0.004279654268102291, 0.0001792616459965708]","[0.9049000144004822, 0.06070347875356674, 0.034396495670080185]","[0.9971292769113482, 0.0028588875749965084, 1.183551365515115e-05]",R
Healthy,"[0.9196452398420053, 0.0740539559341706, 0.006300804223823904]","[0.8347196578979492, 0.09887127578258514, 0.06640909612178802]","[0.9004733484063503, 0.09786994969159574, 0.0016567019020541434]",R
Healthy,"[0.9905571297310557, 0.0076121068368392, 0.0018307634321049564]","[0.885703980922699, 0.08226656168699265, 0.03202945739030838]","[0.9942753596278578, 0.0056968698355450865, 2.7770536597130516e-05]",R
Healthy,"[0.9453910205197554, 0.04662860660661091, 0.007980372873633778]","[0.6565367579460144, 0.272877037525177, 0.070586197078228]","[0.9675762172495843, 0.027327927590021336, 0.0050958551603943565]",R
Healthy,"[0.9764851054918622, 0.021853291716566598, 0.0016616027915711256]","[0.828015148639679, 0.10884475708007812, 0.06314008682966232]","[0.977661462295039, 0.021940867853940685, 0.0003976698510203532]",R
Healthy,"[0.7359276376048525, 0.10512337970994409, 0.1589489826852034]","[0.7120970487594604, 0.163621187210083, 0.12428177148103714]","[0.7245989865051411, 0.17000018711270926, 0.10540082638214963]",RF
Healthy,"[0.9449934917500654, 0.01662710606230239, 0.03837940218763238]","[0.8489018082618713, 0.10579503327608109, 0.045303188264369965]","[0.7286119315079279, 0.27112362829890413, 0.00026444019316795365]",RF
Healthy,"[0.8721740161523137, 0.026709958567413424, 0.10111602528027296]","[0.8444331288337708, 0.08308852463960648, 0.07247839123010635]","[0.8267191427859361, 0.16990333019419424, 0.003377527019869814]",RF
Healthy,"[0.8614279470190551, 0.08654231291798631, 0.05202974006295855]","[0.7910330295562744, 0.14029507339000702, 0.06867192685604095]","[0.8350202576798106, 0.163966774001649, 0.0010129683185405739]",RF
Healthy,"[0.8737705691839371, 0.05283739880656997, 0.07339203200949299]","[0.7716021537780762, 0.1759471893310547, 0.05245061591267586]","[0.8290083159879567, 0.16734384301058122, 0.0036478410014619397]",RF
Healthy,"[0.7782245303652136, 0.12720246193961565, 0.09457300769517074]","[0.7022601366043091, 0.22497773170471191, 0.07276216894388199]","[0.674683717208956, 0.3173802945792276, 0.007935988211816191]",RF
Healthy,"[0.8207533867589595, 0.14592395120721854, 0.03332266203382199]","[0.7870354652404785, 0.17195162177085876, 0.04101291671395302]","[0.843138500358323, 0.15494402910321445, 0.0019174705384624022]",RF
Healthy,"[0.388997366343103, 0.4635313682979516, 0.14747126535894542]","[0.3912680149078369, 0.2588638663291931, 0.34986811876296997]","[0.38032361134242115, 0.486566733853054, 0.1331096548045248]",S
